word,score,freq
bane,0.9998332262039185,1
grammar,0.9996110796928406,1
grrrrr,0.9996039271354675,1
duvet,0.9992830157279968,1
grind,0.999273955821991,1
disconnection,0.9991777539253235,1
slipknot,0.9990917444229126,1
dating,0.9990566372871399,1
futility,0.998832643032074,1
moan,0.9985894560813904,1
inefficient,0.9982196688652039,1
darkness,0.9981052875518799,1
chopping,0.9979827404022217,1
distracted,0.9978086352348328,1
yer,0.9976934790611267,1
punchingbag,0.997675359249115,1
needa,0.9973293542861938,1
slaped,0.9973222613334656,1
rapist,0.9973044395446777,1
irritating,0.9970977306365967,1
hostility,0.9969229102134705,1
tempers,0.9967971444129944,1
effer,0.9967584013938904,1
illegal,0.9967191815376282,1
tackle,0.9963974356651306,1
effort,0.9962175389130911,12
grasp,0.9957730174064636,1
vmail,0.9957709908485413,1
jealous,0.9957002798716227,3
batting,0.9954817295074463,1
wrenching,0.9953938722610474,1
wtp,0.9953179359436035,1
jackass,0.9952468276023865,1
fend,0.9952190518379211,1
bottling,0.995067834854126,1
muffle,0.9949634075164795,1
stoopid,0.9947161078453064,1
infuriating,0.9946441650390625,1
productivity,0.9944912195205688,1
grumpy,0.9943239688873291,1
mental,0.994035522143046,3
fustrated,0.9921974539756775,1
mugs,0.9919267892837524,1
rematch,0.9915142059326172,1
lash,0.9910139441490173,1
dudes,0.9909483790397644,1
wale,0.9906979203224182,1
apologise,0.9906506538391113,1
insecure,0.9902158975601196,1
mic,0.9901427030563354,1
bashed,0.9898209571838379,1
dope,0.9897869825363159,1
looool,0.9896708130836487,1
blackboard,0.9892789721488953,1
dissapointment,0.9892266988754272,1
aggression,0.9892123639583588,2
actions,0.9884540736675262,2
ranting,0.9878849387168884,1
boredom,0.9877204298973083,1
chars,0.9872940182685852,1
burned,0.9870973825454712,1
ego,0.9862343072891235,1
disgusting,0.9861611723899841,2
spilled,0.9859786629676819,1
boiling,0.9857566952705383,1
dangerous,0.9855470657348633,1
frustrating,0.9855034649372101,2
deadly,0.9849408268928528,1
creeps,0.9849313497543335,1
desist,0.9845167994499207,1
rubbish,0.984181821346283,1
tied,0.9841715693473816,1
crofts,0.9829192161560059,1
fuel,0.9811767339706421,1
strangle,0.9807491302490234,1
speechless,0.9804378747940063,1
behaviour,0.9802427887916565,1
deflect,0.9801441431045532,1
slob,0.9800117015838623,1
raging,0.9795142014821371,3
puppy,0.9792999625205994,2
nvm,0.9786804914474487,1
overboard,0.9781659245491028,1
stab,0.9769582152366638,1
mindblown,0.9766986966133118,1
toll,0.9763498902320862,1
programming,0.975453794002533,1
footie,0.9707539081573486,1
shittiest,0.9673031568527222,1
meds,0.9670537114143372,1
shits,0.9666628241539001,1
goddamn,0.9655531644821167,1
curses,0.9652116298675537,1
idiot,0.9650768041610718,1
stoke,0.9633798599243164,1
unlucky,0.963221549987793,1
ffs,0.9615678191184998,1
desk,0.9605723023414612,1
iran,0.9598835110664368,1
boom,0.9595604538917542,1
reprieve,0.959316611289978,1
lonelyness,0.9592663645744324,1
disproportionate,0.9591814875602722,1
vulture,0.9566700458526611,1
pile,0.956575334072113,1
revengewillbemine,0.9562333822250366,1
feminism,0.9557211399078369,1
vanilla,0.9554840326309204,1
peeves,0.9548181295394897,1
shatter,0.9541850090026855,1
metronome,0.9530677795410156,1
kneel,0.9508538842201233,1
insult,0.950689971446991,1
shazam,0.9501117467880249,1
threatening,0.9489785432815552,1
piss,0.9459282606840134,4
layoff,0.9446575045585632,1
handle,0.9416855275630951,2
brody,0.940805971622467,1
click,0.939616858959198,1
queue,0.9393795728683472,1
idiot-,0.9391183257102966,1
xâ,0.9369255900382996,1
revolutions,0.9357235431671143,1
frowned,0.9343255162239075,1
effed,0.9318954944610596,1
profanity,0.9308521747589111,1
bud,0.9299767315387726,2
sox,0.929701030254364,1
lifeskills,0.9291547536849976,1
satisfaction,0.9288166165351868,1
inability,0.9263015389442444,1
profanities,0.9258449673652649,1
hyping,0.9254378080368042,1
sadness,0.9232748806476593,10
comic,0.9225166440010071,1
rihanna,0.9225015044212341,1
colour,0.9216966032981873,1
rant,0.9212791323661804,2
eponine,0.9210343956947327,1
lyrics,0.9201709628105164,2
proofing,0.9192284941673279,1
barry,0.9179738163948059,1
qb,0.9155298471450806,1
cancel,0.915343701839447,1
explode,0.912749707698822,1
foul,0.9120204448699951,1
penalty,0.9110607504844666,1
grinding,0.9107293486595154,1
santana,0.9092878699302673,1
spill,0.9079880118370056,1
jacket,0.902671754360199,1
shutup,0.902440071105957,2
3ds,0.9012104868888855,1
pepper,0.9004089832305908,1
feedback,0.8992428779602051,1
creeping,0.8982983231544495,1
intensity,0.8974687457084656,1
lolol,0.897245466709137,1
grr,0.8964044451713562,2
faster,0.8958317875862122,5
sport,0.8887660304705302,3
fcuk,0.8884177207946777,1
lawmakers,0.888031542301178,1
whoeva,0.8876942992210388,1
crappy,0.886751115322113,1
weapon,0.8848598599433899,1
fed,0.8847341239452362,2
joker,0.8831701278686523,1
dylan,0.8814143538475037,1
bitchiest,0.8806434869766235,1
teej,0.8803032636642456,1
uninstall,0.8780410885810852,1
punching,0.8710670386041913,7
shove,0.8704609274864197,3
abusive,0.8698865175247192,1
fart,0.869425356388092,1
km,0.8634553551673889,1
lance,0.8574854731559753,1
closeted,0.851603090763092,1
wasted,0.8461190462112427,1
taxes,0.8450947999954224,1
unleash,0.8381936848163605,2
annoyed,0.837935745716095,3
risking,0.8361807465553284,1
misunderstood,0.8344514071941376,2
diaries,0.8343055844306946,1
phrase,0.8319202661514282,1
stfu,0.8304209411144257,4
enraged,0.8284188508987427,4
don't,0.828392505645752,3
discouragement,0.8276227712631226,1
frustration,0.8256834362234388,14
engineering,0.8252284526824951,1
backside,0.8230486512184143,1
barbed,0.8221619725227356,1
messages,0.81463223695755,3
notifications,0.8142573833465576,1
hack,0.8090269565582275,1
murder,0.8059261242548624,3
apathy,0.8023359179496765,1
clicking,0.8009014129638672,1
grrrrrrr,0.7970264554023743,1
hulk,0.7948860426743826,3
temper,0.793245255947113,4
terrible,0.7931058257818222,5
assholes,0.7930939197540283,3
punkass,0.7896689772605896,1
fire,0.7893115162849427,9
twat,0.7877234617869059,3
unacceptable,0.786379337310791,1
verizon,0.7857624888420105,1
numb,0.7827033996582031,1
gordon,0.7810992002487183,1
mufc,0.7802519202232361,1
fury,0.779903252919515,3
asshole,0.7789040505886078,2
hostile,0.7777796983718872,2
capslocknecessary,0.7775871157646179,1
owt,0.7766323089599609,1
selfish,0.7745396296183268,3
duke,0.7739475965499878,1
venting,0.7667399644851685,1
bieber,0.7645592093467712,2
littlewoods,0.7566105723381042,1
fag,0.7562682628631592,1
heck,0.7548100352287292,1
erase,0.7545742988586426,1
smfh,0.7522223591804504,1
feelings,0.7521787658333778,4
srsly,0.7519049644470215,1
mouldy,0.7480958104133606,1
crying,0.7480870306491851,5
anger,0.7476743270050396,64
doesn't,0.7463455311954021,4
revenge,0.7451610267162323,2
mph,0.7442876100540161,1
breakdown,0.7267204523086548,1
suck,0.7266620621085167,4
confusion,0.7246430019537607,3
buried,0.7218509912490845,1
clouded,0.7151747494935989,3
attention,0.7144597669442495,3
emotional,0.713178738951683,4
gah,0.7130241692066193,4
accuse,0.7106114476919174,2
cuss,0.7094873487949371,2
boxers,0.709321141242981,1
friggin,0.7039443850517273,1
fickle,0.702100396156311,1
breakups,0.7006433606147766,1
pot,0.7002778053283691,1
aight,0.6954589486122131,1
regret,0.6937051951885224,5
motherfucker,0.6935495734214783,1
obama,0.6926743388175964,1
bitter,0.6889160126447678,2
twats,0.6851084232330322,1
you're,0.6801425814628601,3
urself,0.6784608364105225,1
rage,0.6703163676641204,22
ridiculous,0.6699597934881846,3
angry,0.66713343684872,46
rush,0.6607739130655924,3
annoying,0.6547242353359858,12
wanting,0.6535861591498057,3
calm,0.6512631882320751,10
karma,0.6502730846405029,1
smirk,0.6492397785186768,1
yelling,0.6486314386129379,2
abuse,0.647587850689888,2
fist,0.647515730621914,3
smash,0.6458862721920013,2
hatred,0.6445734232664109,9
negative,0.6441076844930649,4
prick,0.6434250473976135,1
erased,0.6421927213668823,1
haters,0.6414168477058411,2
drag,0.6395145952701569,2
demon,0.6389868855476379,1
realise,0.6385990381240845,2
ratings,0.637535572052002,1
scream,0.6324927024543285,3
idiots,0.6282413899898529,2
chew,0.6275209784507751,1
point,0.6268583759665489,10
papercuts,0.6266416311264038,1
punch,0.6244370937347412,17
stupidity,0.6239180564880371,1
kourtney,0.6199625730514526,1
cheek,0.6106000542640686,2
bitch,0.6067779195996431,26
whoops,0.6060366034507751,1
oppression,0.6042551398277283,1
warehouse,0.6008267998695374,1
wasting,0.6004811897873878,2
causing,0.5915357917547226,2
darth,0.5876017212867737,1
destructive,0.5862464755773544,2
cranky,0.5798827509085337,3
pissed,0.5784485547244549,24
sentences,0.5748750492930412,2
blowing,0.5712224319577217,2
killing,0.5694619764884313,3
yell,0.5665929814179739,3
tf,0.56443882137537,5
yh,0.5629353523254395,1
management,0.5599636655300856,20
shut,0.5571714719900718,13
kick,0.5487438376460757,7
hunger,0.5464376896619797,5
finna,0.545164167881012,1
aggravating,0.5437101721763611,1
tryna,0.5430760383605957,1
tolerate,0.5410657227039337,3
decides,0.5395033089444041,4
comments,0.5372313261032104,1
annoyances,0.535545825958252,1
fucks,0.5328262895345688,4
dump,0.5301748116811117,6
sarcasim,0.5282333493232727,1
chest,0.5245524942874908,2
smoking,0.5212262030690908,2
mistrust,0.520722508430481,1
kya,0.5205984115600586,1
shitty,0.5142611265182495,5
score,0.51376848295331,2
slow,0.5136876851320267,6
rules,0.512574315071106,1
fucker,0.5123924612998962,1
messed,0.5061005428433418,4
waste,0.5054961517453194,4
rawr,0.5030403733253479,1
fucking,0.5022564862322595,51
wall,0.49932610853151843,11
camper,0.4983093738555908,1
sow,0.49715012311935425,1
ebay,0.4968041330575943,2
balled,0.49610084295272827,1
petrol,0.494976157322526,2
effortâ€,0.4927706182934344,2
load,0.4927102387882769,2
teach,0.4913557469844818,1
stabbed,0.49023759784176946,2
abounding,0.4881094992160797,1
reply,0.48661000467836857,2
spite,0.48646436880032223,6
harsh,0.4860484798749288,3
pent,0.4799080863595009,2
pummeled,0.476052850484848,1
busted,0.4759025275707245,1
survive,0.47472985088825226,2
trucker,0.4746555984020233,1
ripped,0.4735698327422142,2
ell,0.4711889326572418,1
worrying,0.46976912021636963,1
stupid,0.46920787051997404,20
saying,0.46900199220648836,7
fired,0.4651603102684021,1
energies,0.46335113048553467,1
texts,0.4614305707315604,3
verified,0.45886028185486794,1
h8,0.4555981755256653,1
@strong_face,0.45395591855049133,1
teenage,0.45087966322898865,1
keith,0.45043715834617615,1
biting,0.44838540023192763,2
aggravation,0.44801047444343567,5
rend,0.44466957449913025,1
lawrence,0.44301408529281616,1
mediocre,0.4388071596622467,1
ignore,0.4378283817321062,5
mess,0.4370714660201754,7
messing,0.434998270124197,2
handed,0.4345490727573633,2
member,0.43307963013648987,1
channeling,0.4290409688837826,2
fuming,0.4250214546918869,2
resentment,0.42497608065605164,1
irritates,0.4248386323451996,1
screamed,0.4213670790195465,1
trent,0.42116472125053406,1
acid,0.4209279964367549,3
sucky,0.41855213046073914,1
ignorance,0.41769375652074814,2
tiger,0.41411852091550827,2
tits,0.4138500007490317,3
tim,0.4133089780807495,1
bloody,0.4114859316498041,10
hafta,0.4106408357620239,1
sorrow,0.4105372093617916,8
professionalism,0.4079161584377289,1
despise,0.40674335571626824,3
solve,0.40564228780567646,2
ungrateful,0.4050958901643753,2
computers,0.40211428413567774,4
thirsty,0.4012004882097244,2
teacher,0.3943458288908005,5
sorry,0.39431632310152054,8
misstep,0.3933272063732147,1
i.,0.3926047086715698,1
bit,0.3924611113034189,8
uwo,0.39025622606277466,1
bitterness,0.38994042078653973,3
fan,0.3877315651625395,5
grief,0.3860696703195572,4
lying,0.3838804780971259,4
pisses,0.3831736110150814,2
irked,0.3819020688533783,1
btw,0.37969091534614563,2
freeze,0.3796297286947568,3
mad,0.379029251061953,23
ughhh,0.3755474011413753,2
smashed,0.3748597713808219,3
deal,0.37044014744460585,9
answers,0.36602536163991317,2
sodding,0.3641020357608795,1
literally,0.3635239762661513,5
threw,0.3599183261394501,4
dammit,0.35165909801920253,3
heat,0.35145755608876544,3
obnoxiously,0.3511336147785187,1
controlling,0.34779038031895954,3
sowing,0.3465209901332855,1
bleeding,0.3460924029350281,1
cunts,0.34491444130738574,3
cunt,0.3419775689641635,3
ik,0.34133151173591614,1
burn,0.3338569195142814,6
faceit,0.3327120840549469,1
chargers,0.3268182575702667,1
letter,0.32601980584634777,3
adebayor,0.32476457953453064,1
status,0.3238089769874932,4
uncontrolable,0.32155415415763855,1
details,0.3210582685424015,2
ignorant,0.31711164116859436,2
phonecalls,0.311206579208374,1
awful,0.3074746489524841,10
alright,0.3047179616987705,2
blame,0.3038151767104864,2
fuckin,0.301789378747344,8
important,0.30022850837558507,5
fuck,0.2987182645968372,58
wet,0.29714866696546477,3
rip,0.2963366693417941,7
fight,0.2959261440701084,7
whiney,0.2944779694080353,1
complain,0.2939041256904602,3
problems,0.29120801637570065,6
bullshit,0.2875109488765399,3
towards,0.2828601682558656,4
ruined,0.28204124271869657,5
kicking,0.2820386831299402,3
texting,0.2810800150036812,4
emotion,0.275699220597744,9
dispatcher,0.2749185264110565,1
wtf,0.2730745772520701,6
conflict,0.2709428668022156,1
speaking,0.2701553185237572,4
manage,0.26768844565376637,3
hurt,0.26725718478361765,12
marriages,0.26676145195961,1
extra,0.26607400667853653,3
screw,0.2639259472489357,3
misremembering,0.263110488653183,1
shoot,0.26182917889673263,4
attitude,0.2601722278050147,4
bus,0.2487482838332653,11
everlast,0.2403576821088791,1
dick,0.24014155194163322,4
seething,0.2374117374420166,1
heavy,0.2347804723540321,4
connected,0.23198561370372772,1
heartbreak,0.2310470724478364,2
harry,0.23068150505423546,7
angriest,0.2279742956161499,1
update,0.22742208372801542,2
angrier,0.22622158825397493,5
decency,0.22585807740688324,1
cheap,0.22389524430036545,4
hrs,0.22275541660686335,3
freakin,0.22201737749855965,3
forget,0.22177335796877742,5
soccer,0.22150720469653606,3
attack,0.22124047961551696,4
hate,0.22034654950759575,88
hungered,0.22002221643924713,1
wana,0.21370210239547305,4
deny,0.21251584589481354,1
shit,0.2124428993105242,48
turning,0.20914870826527476,4
songs,0.2073891571878145,3
beat,0.20660325533456422,11
confused,0.20608185231685638,1
lyk,0.20391570031642914,1
shouting,0.20371552308400473,3
rooms,0.20288150012493134,1
