,Word,Value,Freq
3066,worse,-1.430209320642163,14
1819,chrysler,-1.4254430474506483,2
9483,explosions,-1.4247549909447867,1
7959,leak,-1.4167922814687093,1
6669,deserted,-1.414290244352432,2
9057,regret,-1.4114755658489284,1
7397,slap,-1.4058575157009041,1
6934,mothers,-1.404829226496319,1
6266,protest,-1.4014211568718835,6
47,boycott,-1.4011520731545075,2
855,kidnapped,-1.3986448419557775,4
3313,habits,-1.3947448787698835,2
1416,bad,-1.3944267634969636,16
9656,sheds,-1.3890608549759986,1
1278,trouble,-1.387862790551943,8
5557,crash,-1.382390053631821,6
3099,cancellation,-1.377436589983441,2
6221,bonuses,-1.3768943414446855,1
5952,infections,-1.3735330119208289,1
7328,ignoring,-1.3555454676252314,2
9673,slaughter,-1.3533464687695334,2
392,shooting,-1.3414436549492303,8
2980,wished,-1.3388946606643979,2
5266,anxious,-1.3378562159126712,2
5113,afi,-1.337365057260271,1
8006,ruins,-1.3363774740665755,2
3508,punish,-1.3291449573663823,3
10448,graffiti,-1.325988140741139,2
2765,disappointed,-1.3222535573929968,4
8815,rejects,-1.3212492235381195,3
2934,shame,-1.3203276763352885,4
5076,fucked,-1.3174615928949294,3
3007,seized,-1.3137967302357056,4
10020,scary,-1.313765601892534,1
2285,arrest,-1.3083650671471156,3
7886,corrupt,-1.3051890836101079,4
11717,terminated,-1.30498249921339,1
10093,criticizing,-1.3030543981876512,1
10157,##broken,-1.300507497451359,1
10674,##ocation,-1.3002357581800146,1
8749,nerve,-1.2956212751020948,3
4465,credits,-1.2954787660139018,3
3805,fraudulent,-1.2943062332913227,3
8426,disappeared,-1.2931000811035305,5
7417,reigns,-1.2922080078768352,2
2497,outdated,-1.288694798749263,3
5797,ignore,-1.2867908069328853,6
8192,clashes,-1.282364339878162,2
4993,nervous,-1.2820630744781905,1
9856,execution,-1.2807864129543305,1
4660,stolen,-1.2738916764033135,3
6992,ridiculous,-1.2719294722176728,6
8475,glare,-1.268722469387413,1
3150,lose,-1.2656634564328826,8
3876,shit,-1.263824120127969,2
7223,naive,-1.2638213705930341,2
9461,cigarettes,-1.2606286398473479,1
2620,##urn,-1.2602316095697559,3
11654,guilt,-1.2593672502608526,1
7070,nuclear,-1.2584874158675865,6
1149,pinched,-1.2583327759419505,1
3749,hates,-1.254846175020431,1
9646,kidnapping,-1.2537955462932586,1
7137,absurd,-1.252103585119936,2
3864,copyright,-1.2511389791965484,1
1199,abandoning,-1.2506959512502283,1
281,gunmen,-1.2443949859057155,3
624,difficult,-1.2432542899892651,13
4069,useless,-1.2428109699209722,5
1858,warns,-1.2341850994783699,4
11095,911,-1.233241792820921,1
11440,plunged,-1.2306816504516975,2
6717,fears,-1.2304951699716704,2
8750,anxiety,-1.2277479803645528,1
11548,interfere,-1.2260340237877858,1
9910,harvested,-1.2253543753214557,1
3911,stole,-1.2247064146305962,1
6760,flinched,-1.217092069817914,1
10001,fights,-1.2137516830720791,2
11426,symbolic,-1.213450023579219,1
2218,none,-1.2131570032802137,8
9311,97,-1.2075082006908597,1
2496,odd,-1.2073096966026096,4
4911,collision,-1.2022917698042046,3
10576,sped,-1.201764751174709,1
10876,##feit,-1.1975394785864917,1
2065,blamed,-1.1900383369627974,3
11638,goodbye,-1.189665655667583,1
4252,##glers,-1.1882311543457906,2
4251,smug,-1.1882311543457906,2
9598,heck,-1.1865564113069973,1
8097,vulgar,-1.1845706037500965,2
1080,false,-1.182126664305028,4
8862,hurts,-1.1768209689215523,3
6038,suspended,-1.1727965182539222,5
10492,blur,-1.1706693096134746,2
323,hurt,-1.1696670551466688,9
1376,problem,-1.1682634634547977,25
7284,bs,-1.167877820868648,2
11285,vile,-1.166036182286352,1
11417,glaciers,-1.1656213496294288,1
10577,blurred,-1.1626927636208988,1
6531,crossroads,-1.1586721260292707,2
9524,goddamn,-1.158345105168273,2
1932,dangerous,-1.1565574045187925,8
3116,##olved,-1.1558843303512334,2
7438,kidding,-1.153940977173615,3
2487,ignored,-1.1538570730108564,10
5961,miserable,-1.1524021950890535,1
8963,rubbish,-1.1470191598939874,3
2650,steal,-1.1424384603035629,4
5723,hm,-1.140543680270214,1
6775,intimidated,-1.139937962508864,1
5844,killer,-1.1379233807325364,1
