Word,Bert,Distilbert,Bert_Mask,DistilBert_Mask
impatient,-0.00074378,-2.9600000000000005e-05,0.22511672973632807,-0.039102792739868164
swinging,-0.000743625,-1.85e-05,-0.016656875610351562,0.11930465698242188
abandon,-0.00068173,1.12e-05,6.4788103103637695,0.011893272399902344
hometown,-0.000608502,-9.05e-05,0.08144760131835938,-0.13640522956848145
requests,-0.000554302,-6.97e-06,-0.2916245460510254,-0.07303786277770996
destined,-0.0005335030000000001,4.98e-06,0.14147508144378662,-0.018991351127624508
coverage,-0.000524712,-1.01e-05,0.09700950235128404,-0.034820396453142166
vengeance,-0.000509379,-5.3400000000000004e-05,0.3954505920410156,-0.2392721176147461
microwave,-0.000447365,-1.74e-05,0.2486995458602905,-0.0029724538326263428
breaths,-0.000439085,-1.52e-05,-0.027439117431640625,-0.01890873908996582
medication,-0.000436924,5.3200000000000006e-05,0.06975412368774414,-0.15810656547546387
infected,-0.00042918300000000003,3.76e-05,0.11087608337402344,0.016475200653076172
luckily,-0.00042734,-4.52e-05,0.3376457691192627,0.057478547096252434
pursue,-0.000421219,9.59e-06,0.0007863044738769531,-0.2459349632263184
numbers,-0.000413044,-3.06e-06,-0.06731732934713364,-0.006805578712373972
minor,-0.00040413900000000003,-4.14e-05,-0.055150508880615234,-0.01037132740020752
spilled,-0.000402106,-2.95e-05,1.2194437980651855,-0.029939493164420124
finest,-0.000395456,-4.22e-05,-0.08937326818704605,-0.08323685079813004
slower,-0.00039087599999999996,-4.5600000000000004e-05,-0.3865175247192383,0.06522345542907715
arrives,-0.00038608699999999996,-2.25e-05,0.07415294647216797,-0.23290324211120605
dilemma,-0.000375911,5.56e-05,0.18412208557128906,1.4922502040863037
56,-0.00037583800000000003,-1e-05,-0.009013652801513672,-0.07421541213989258
whites,-0.000354361,-1.7899999999999998e-05,0.05002140998840332,-0.1337651014328003
grades,-0.00035144800000000003,-3.19e-06,0.09294486045837402,-0.05709099769592285
sirens,-0.00035143699999999996,-3.53e-05,0.006824493408203125,-0.07163643836975098
presenting,-0.00034819,-1.12e-05,-3.5667755603790283,0.032912015914916985
coincidence,-0.000345186,1.32e-05,0.07493925094604492,1.2622085809707642
convince,-0.000344495,-1.67e-05,-0.10206540673971176,-0.01773889921605587
jury,-0.000344346,1.3500000000000001e-05,-0.3956975936889648,0.07072663307189941
grading,-0.000343064,-9.38e-06,0.040887117385864265,-0.05206918716430664
drowning,-0.00033904,-3.65e-06,0.005162239074707031,-0.11516475677490234
realistic,-0.000334161,-4.04e-06,0.03782224655151367,0.04575610160827637
weekends,-0.00033396900000000004,-3.37e-05,0.11607391387224195,-0.04140577837824822
collect,-0.000333684,-3.35e-05,0.05089282989501953,-0.11658239364624025
exposed,-0.000332891,5.6e-06,-1.7695008516311646,1.6085096597671509
announces,-0.000328434,-3.229999999999999e-05,0.14696741104125974,0.18782806396484372
bitten,-0.000327805,2.94e-05,-0.14803791046142578,0.014612913131713869
professors,-0.000325462,-1.64e-05,0.04419088363647461,0.18800997734069824
fires,-0.000320812,-3.68e-05,0.04381108283996582,-0.08692502975463867
themed,-0.000320743,-9.17e-06,-0.11699819564819335,4.792213439941406e-05
torture,-0.000319819,2.35e-05,-0.028746128082275387,-0.043208718299865716
helpless,-0.00031583,-2.27e-05,-0.07120847702026367,-0.08092053979635239
bracelet,-0.000313848,-4.01e-05,-0.00953388214111328,0.003486951114609837
terribly,-0.000313544,-3.26e-05,-0.201575830578804,0.015950918197631836
csi,-0.000311567,-7.859999999999999e-05,0.04296064376831055,0.033190011978149414
clicked,-0.000311168,3.84e-06,-0.3702813684940338,-0.23346678912639615
effective,-0.000308426,-4.94e-05,0.3556842803955078,0.025931835174560547
misses,-0.00030712299999999997,-9.35e-06,-0.19009177386760712,0.01729043386876583
footsteps,-0.000307031,-1.4599999999999999e-05,0.04979801177978516,-0.05092954635620117
brief,-0.000304691,-1.83e-05,0.3677997589111328,0.009392261505126951
15th,-0.00030354599999999997,-3.4200000000000005e-05,-0.12158647924661635,-0.01725546456873417
qualify,-0.000302275,3.76e-05,-0.12721586227416992,-0.08795022964477539
towns,-0.000297792,-3.78e-05,0.09459058195352554,-0.08252223581075667
pregnancy,-0.00029731099999999997,-6.05e-06,-0.04263901710510254,0.008062362670898438
apparent,-0.000295468,-3.97e-05,0.006499926093965769,-0.010045449249446392
owns,-0.000294914,4.34e-06,-0.3528413772583008,-0.07070255279541016
buried,-0.00029455599999999996,-3.79e-05,0.5866465568542479,-0.09143400192260742
brake,-0.000289112,-2.98e-05,-0.03211522102355957,0.5517978072166443
flashbacks,-0.000285549,1.64e-05,0.12093830108642578,1.4614343643188477
needing,-0.000284683,3.19e-05,2.132129192352295,-0.11061501502990724
traumatic,-0.000282292,4.3200000000000007e-05,0.12752723693847656,-0.01817655563354492
resting,-0.00028143,-9.73e-06,0.03436851501464844,0.10268584638834
cans,-0.000279579,-4.01e-05,0.008571147918701172,-0.011164982803165913
