Word,Bert,Distilbert,Bert_Mask,DistilBert_Mask
scoring,-0.00011727200000000001,1.6100000000000002e-05,0.014982223510742188,-0.03474998474121094
threatening,-0.000113845,2.54e-05,7.25356912612915,0.3100316524505615
vessel,-9.990000000000002e-05,2.42e-05,0.0230255126953125,0.015303090214729309
defined,-9.640000000000001e-05,2.8100000000000002e-05,0.023285388946533203,0.017479658126831055
poorly,-8.88e-05,8.01e-06,0.06276464462280272,0.3881500959396362
corrupted,-8.71e-05,-4.12e-06,0.2358050346374512,0.3966287970542908
advisor,-8.57e-05,1.4000000000000001e-05,0.017519474029541016,0.006000161170959473
promising,-8.04e-05,-9.98e-06,0.2132701873779297,-0.08126389980316162
bubbles,-7.659999999999999e-05,1.4300000000000002e-05,0.015110969543457031,0.013499855995178223
offence,-7.52e-05,1.04e-05,0.1396493911743164,0.13145089149475098
stir,-7.52e-05,4.11e-05,0.18885469436645508,-0.0557662844657898
declined,-7.25e-05,1.29e-05,0.6535720825195312,0.386197566986084
colder,-7.06e-05,5.05e-06,-0.02903985977172852,0.013624608516693115
delivering,-6.91e-05,-1.29e-06,0.5664117336273193,0.14547038078308105
brake,-6.63e-05,-7.66e-07,1.0012936592102049,0.038045525550842285
hesitate,-6.620000000000001e-05,3.82e-06,0.4039316177368164,0.076271653175354
invade,-6.61e-05,2.15e-05,0.008251667022705078,0.012195810675621031
viewers,-6.51e-05,-1.13e-05,0.03860187530517578,-0.01812702417373657
opinions,-6.37e-05,2.0399999999999998e-05,0.04463958740234375,-0.0016803145408630373
chased,-6.31e-05,-1.4599999999999999e-05,0.016383647918701172,0.08325386047363281
airlines,-6.13e-05,1.1599999999999999e-05,0.04510259628295898,-0.04589557647705078
shouted,-5.85e-05,-3.3600000000000004e-05,0.015269756317138672,0.20316821336746216
bid,-5.79e-05,2.18e-05,0.02035808563232422,-0.003267765045166016
commons,-5.7700000000000007e-05,-1.1599999999999999e-05,0.03750419616699219,0.07280868291854857
generic,-5.7499999999999995e-05,1.06e-05,-0.02560710906982422,0.026177287101745602
antibiotics,-5.6999999999999996e-05,1.6899999999999997e-05,-0.057942390441894524,0.00934147834777832
conditions,-5.6899999999999994e-05,-1.01e-05,0.09074592590332033,-0.00364077091217041
skipped,-5.68e-05,-3.45e-06,0.2322549819946289,0.08606123924255371
carnage,-5.67e-05,2.25e-06,0.004039287567138672,0.09314090013504027
hugo,-5.629999999999999e-05,-1.15e-05,-0.04747772216796875,0.005248427391052246
rampage,-5.629999999999999e-05,-6.83e-06,0.02117013931274414,0.19300448894500727
tyre,-5.6200000000000004e-05,1.1400000000000001e-05,-0.002341270446777344,0.0231093168258667
splashed,-5.6000000000000006e-05,-1.95e-05,0.049739837646484375,0.0881955623626709
swore,-5.5700000000000005e-05,-1.1900000000000001e-05,0.06289911270141603,0.04607605934143066
doom,-5.56e-05,-4.88e-06,0.025843938812613487,0.16448061168193814
consistently,-5.550000000000001e-05,4.42e-06,0.0014066696166992188,0.08008846640586853
dragging,-5.539999999999999e-05,1.6800000000000002e-05,0.004832983016967773,0.13557177782058716
claiming,-5.520000000000001e-05,1.63e-05,-0.07457494735717772,0.035107314586639404
crashed,-5.479999999999999e-05,1.22e-05,-0.04169654846191406,0.16384057700634005
dynamic,-5.4600000000000006e-05,7.84e-06,0.019727706909179688,0.0441131591796875
holmes,-5.4600000000000006e-05,-4.19e-06,-0.0016384124755859375,0.006712198257446289
cliff,-5.44e-05,7.49e-06,-0.02290868759155273,0.008119702339172363
spends,-5.379999999999999e-05,-2.98e-07,3.001684188842773,0.14280998706817627
assuming,-5.3700000000000004e-05,-7.46e-06,0.10295438766479492,0.013151288032531738
curb,-5.24e-05,1.4499999999999998e-05,0.003087043762207031,0.0685073733329773
sniffing,-5.24e-05,2.6300000000000002e-05,-0.02842998504638672,-0.030121922492980964
slamming,-5.24e-05,-2.8600000000000004e-05,0.10941505432128906,0.6390448808670044
impressed,-5.2300000000000004e-05,-1.07e-05,-0.08926963806152344,-0.0009123086929321287
ticking,-5.21e-05,2e-05,0.06688690185546875,0.03749549388885498
bullet,-5.17e-05,3.29e-06,-0.015318870544433594,-0.014107704162597656
snail,-5.13e-05,3.51e-06,-0.08783626556396484,0.012531042098999023
aggravated,-5.1e-05,7.01e-06,0.1798269748687744,0.17010915279388428
spelling,-5.0900000000000004e-05,1.3500000000000001e-05,-0.09899568557739258,-0.07176768779754639
finance,-5.02e-05,2.35e-05,0.0217968225479126,-0.02649664133787155
encourage,-5.01e-05,-1.51e-05,1.0751223564147951,0.09856706857681274
stroke,-4.99e-05,2.09e-05,0.025449275970458984,-0.01851522922515869
snapped,-4.98e-05,2.8999999999999997e-05,-0.2053389549255371,0.4255534112453461
opposing,-4.83e-05,9.56e-06,-0.02356147766113281,0.08949950337409973
sorting,-4.8e-05,-1.0800000000000002e-05,0.005539894104003906,0.04258239269256592
agreement,-4.79e-05,1.01e-05,0.37845516204833984,0.08030521869659424
skull,-4.7499999999999996e-05,6.06e-06,0.02939581871032715,-0.008713185787200928
moan,-4.74e-05,-7.29e-06,-0.019857406616210938,-0.054237961769104
waist,-4.73e-05,1.57e-05,-0.04770040512084961,-0.09577375650405884
stranded,-4.71e-05,9.18e-06,0.06605052947998047,0.333093523979187
fury,-4.71e-05,4.52e-05,3.5571107864379883,0.8270297646522522
curriculum,-4.6399999999999996e-05,-4.31e-06,-0.004384517669677734,-0.009474754333496094
static,-4.59e-05,-3.25e-06,0.15413475036621094,0.002725442172959447
dept,-4.59e-05,-1.13e-05,-0.008234977722167969,-0.020541071891784668
virus,-4.57e-05,-5.57e-07,0.00039895376539789135,0.08188354969024657
8,-4.52e-05,1.27e-05,0.009828022681176662,-0.002541556488722563
shy,-4.51e-05,1.95e-06,-0.07714605331420897,-0.054819583892822266
commentators,-4.48e-05,1.74e-05,0.017729759216308594,0.08041000366210938
permission,-4.47e-05,1.3300000000000001e-05,0.04081745073199272,0.06269235908985138
responsible,-4.46e-05,-1.39e-05,0.015515327453613281,0.1379929482936859
fuse,-4.4e-05,-8.34e-06,0.024248123168945312,0.05359864234924317
unemployed,-4.4e-05,7.98e-06,0.05021071434020996,0.04194939136505127
cabinet,-4.4e-05,2.85e-06,0.019116878509521484,0.061211705207824714
converse,-4.3799999999999994e-05,-4.47e-05,-0.022804737091064453,-0.01663351058959961
backing,-4.3799999999999994e-05,2.8199999999999998e-05,0.1896514892578125,0.3235328793525696
stays,-4.36e-05,-6.14e-06,0.031777620315551765,0.04231834411621094
narrow,-4.33e-05,-2.4100000000000003e-05,0.039708614349365234,-0.0064555853605270394
karate,-4.3200000000000007e-05,5.2e-06,0.0947589874267578,0.0076624155044555655
showcase,-4.3e-05,2.42e-06,0.0018868446350097656,-0.040457487106323235
flavour,-4.28e-05,-1.64e-06,-0.007678985595703125,-0.013880610466003418
atmosphere,-4.270000000000001e-05,-5.02e-06,0.011059284210205078,-0.015665015205740932
towed,-4.270000000000001e-05,2.12e-05,0.036405086517333984,0.12218868732452393
renew,-4.24e-05,1.85e-06,0.29871320724487305,-0.03257143497467041
clicking,-4.22e-05,-6.4e-07,0.08915209770202638,0.07833217084407806
savage,-4.22e-05,-9.46e-06,-0.006011009216308594,0.274777889251709
tits,-4.1899999999999995e-05,1.53e-05,0.19938091933727264,0.0754009336233139
forms,-4.16e-05,-3.44e-06,-0.0022079150658100843,0.047995608299970634
maid,-4.16e-05,7.13e-07,0.03458070755004883,0.006354808807373047
shuttle,-4.15e-05,-1.9699999999999998e-05,0.11799812316894533,-0.06509977579116821
activate,-4.1200000000000005e-05,-3.21e-05,-0.04513263702392578,0.008575439453125
weekdays,-4.09e-05,-1.52e-05,0.03334474563598633,0.037613987922668464
equation,-4.09e-05,-5.29e-06,0.03166055679321289,0.10652804374694824
dummy,-4.0799999999999996e-05,2.54e-05,0.03368806838989258,0.04266107082366944
salty,-4.0600000000000004e-05,2.28e-06,-0.07106971740722656,-0.020759781822562214
entertain,-4.0600000000000004e-05,-1.99e-05,0.04597020149230957,-0.005997002124786377
transcript,-4.05e-05,-1.16e-06,0.07183265686035156,0.0876084566116333
grounds,-4.05e-05,3.9399999999999995e-05,0.11328411102294922,0.08528715372085571
handicap,-4.04e-05,-1.73e-05,0.0501699447631836,-0.027667403221130368
rod,-4.04e-05,-2.78e-06,-0.005088567733764648,-0.01247615646570921
eleven,-4.01e-05,-9.53e-06,0.0420522689819336,-0.023158133029937744
quietly,-4e-05,8.27e-06,-0.036499977111816406,-0.015987992286682132
noble,-3.9899999999999994e-05,-2.91e-07,-0.011904478073120115,-0.009139657020568848
responding,-3.98e-05,3.96e-06,0.8839303851127625,0.151882141828537
dramatic,-3.98e-05,-9.04e-06,-0.013065695762634277,0.047088325023651116
hurting,-3.98e-05,1.53e-05,0.12100829929113388,0.26394161581993103
steel,-3.97e-05,-4.74e-06,0.07397636026144028,-0.002485831500962377
context,-3.96e-05,4.51e-05,0.01929473876953125,0.040038764476776116
lecturer,-3.9500000000000005e-05,-2.54e-06,0.18414831161499026,0.12782388925552368
coal,-3.9399999999999995e-05,-1.43e-06,-0.022879838943481445,-0.05405700206756592
hammering,-3.9399999999999995e-05,-6.47e-06,0.01074838638305664,0.07822668552398683
gloss,-3.9e-05,-2.0399999999999998e-05,0.03947305679321289,-0.008426666259765625
parody,-3.87e-05,5.85e-07,0.011125683784484863,0.10685113072395323
correct,-3.84e-05,1.3300000000000001e-05,0.07933247089385986,0.05607512593269348
helmet,-3.82e-05,3.47e-06,0.02985811233520508,0.033122777938842766
refuses,-3.8e-05,-1.32e-05,0.2402505874633789,0.11477243900299072
maturity,-3.8e-05,-2.2100000000000002e-05,-0.034562110900878906,-0.08266675472259521
howling,-3.8e-05,7.92e-06,-0.005917549133300781,0.010586023330688477
