,Word,Bert,Distilbert
1399,espn,-3.82E-05,-1.42E-05
1400,decided,-3.82E-05,4.64E-06
1401,josh,-3.81E-05,-8.41E-06
1402,liam,-3.81E-05,1.15E-05
1403,dave,-3.80E-05,-5.04E-06
1404,concert,-3.77E-05,-1.40E-05
1405,mini,-3.77E-05,-1.51E-05
1406,corridor,-3.77E-05,4.68E-05
1407,dent,-3.76E-05,8.68E-06
1408,words,-3.76E-05,-1.22E-05
1409,gym,-3.76E-05,-9.56E-06
1410,time,-3.76E-05,-1.04E-05
1411,playoffs,-3.75E-05,-1.09E-05
1412,66,-3.75E-05,2.82E-06
1413,atm,-3.75E-05,-7.67E-06
1414,economic,-3.75E-05,-1.47E-05
1415,chargers,-3.75E-05,-1.18E-05
1416,plate,-3.75E-05,-6.46E-06
1417,dawn,-3.75E-05,-1.33E-05
1418,collection,-3.75E-05,5.66E-06
1419,hot,-3.75E-05,-9.54E-06
1420,function,-3.75E-05,-2.88E-05
1421,pan,-3.74E-05,-1.32E-05
1422,far,-3.74E-05,-1.13E-05
1423,xx,-3.74E-05,-1.06E-05
1424,counts,-3.74E-05,-6.54E-05
1425,sd,-3.73E-05,-7.34E-06
1426,naive,-3.73E-05,9.57E-06
1427,sour,-3.73E-05,1.94E-05
1428,awesome,-3.73E-05,-1.46E-05
1429,avenue,-3.72E-05,-3.30E-05
1430,crowd,-3.72E-05,-2.89E-05
1431,wings,-3.72E-05,4.43E-06
1432,defence,-3.72E-05,-1.25E-05
1433,bands,-3.72E-05,-1.85E-05
1434,kate,-3.71E-05,-1.02E-05
1435,45,-3.71E-05,2.07E-06
1436,team,-3.71E-05,-8.03E-06
1437,willie,-3.70E-05,3.58E-06
1438,justin,-3.70E-05,-4.85E-06
1439,lyrical,-3.69E-05,3.38E-07
1440,slept,-3.69E-05,-1.29E-05
1441,notes,-3.69E-05,-1.80E-05
1442,sitting,-3.69E-05,-1.26E-05
1443,louise,-3.69E-05,-4.61E-05
1444,charlie,-3.68E-05,4.07E-06
1445,facebook,-3.68E-05,-9.32E-06
1446,93,-3.68E-05,-4.20E-05
1447,cal,-3.68E-05,-1.89E-05
1448,survey,-3.67E-05,6.37E-05
1449,scrub,-3.67E-05,-9.10E-06
1450,wagon,-3.66E-05,6.42E-06
1451,volume,-3.66E-05,-1.57E-05
