Word,Value,Freq,Method,Label
amen,0.4402112513780594,multi,Roberta_Mask,joy
tommorow,0.4398254205783208,multi,Roberta_Mask,joy
leaves,0.4390918139149161,multi,Roberta_Mask,joy
solid,0.4357292890548706,multi,Roberta_Mask,joy
scripture,0.4355417149407523,multi,Roberta_Mask,joy
painting,0.4350257813930511,multi,Roberta_Mask,joy
gospel,0.433074676990509,multi,Roberta_Mask,joy
buddha,0.4327741530206468,multi,Roberta_Mask,joy
sitting,0.430688663938288,multi,Roberta_Mask,joy
science,0.4293618377298117,multi,Roberta_Mask,joy
inspiring,0.4173300981521606,multi,Roberta_Mask,joy
rolling,0.4132310807704925,multi,Roberta_Mask,joy
mob,0.4033187612891197,multi,Roberta_Mask,joy
spring,0.3978857159614563,multi,Roberta_Mask,joy
joy,0.3969524127840996,multi,Roberta_Mask,joy
joyful,0.3965180656489204,multi,Roberta_Mask,joy
desire,0.3959290027618408,multi,Roberta_Mask,joy
beats,0.3932882226072252,multi,Roberta_Mask,joy
steal,0.3809826769507848,multi,Roberta_Mask,joy
swim,0.378578169779344,multi,Roberta_Mask,joy
sharing,0.3781708321150611,multi,Roberta_Mask,joy
cranky,0.371087446808815,multi,Roberta_Mask,joy
christian,0.3702019810676574,multi,Roberta_Mask,joy
joys,0.3684735979352678,multi,Roberta_Mask,joy
fever,0.367459441934313,multi,Roberta_Mask,joy
spending,0.366997916935658,multi,Roberta_Mask,joy
workshop,0.3655227214097977,multi,Roberta_Mask,joy
atleast,0.3635349487264951,multi,Roberta_Mask,joy
cleaned,0.3625157305172511,multi,Roberta_Mask,joy
sleepy,0.3569582894444466,multi,Roberta_Mask,joy
joyous,0.3484855840603511,multi,Roberta_Mask,joy
strawberry,0.3463914483785629,multi,Roberta_Mask,joy
church,0.3400049716234207,multi,Roberta_Mask,joy
snoring,0.3398089387587139,multi,Roberta_Mask,joy
embrace,0.3395224759976069,multi,Roberta_Mask,joy
pep,0.3317970782518387,multi,Roberta_Mask,joy
sarcasm,0.3313757535070181,multi,Roberta_Mask,joy
exams,0.3304598784446716,multi,Roberta_Mask,joy
blessed,0.3278407404820124,multi,Roberta_Mask,joy
ministry,0.3241363435983658,multi,Roberta_Mask,joy
thrill,0.322352002064387,multi,Roberta_Mask,joy
heavenly,0.3223087906837463,multi,Roberta_Mask,joy
assignments,0.3201521613768169,multi,Roberta_Mask,joy
ages,0.3168191313743591,multi,Roberta_Mask,joy
immanuel,0.310558271408081,multi,Roberta_Mask,joy
mrs,0.2995560637542179,multi,Roberta_Mask,joy
coursework,0.2994989951451619,multi,Roberta_Mask,joy
dry,0.2993921978133065,multi,Roberta_Mask,joy
happier,0.2974143266677856,multi,Roberta_Mask,joy
searching,0.2954928191999594,multi,Roberta_Mask,joy
praise,0.2942576905091603,multi,Roberta_Mask,joy
carols,0.2923540217535836,multi,Roberta_Mask,joy
laughter,0.2911399940649668,multi,Roberta_Mask,joy
tis,0.2907003263632456,multi,Roberta_Mask,joy
mrs.,0.2900924310088157,multi,Roberta_Mask,joy
slice,0.2899675279855728,multi,Roberta_Mask,joy
pride,0.2870150076018439,multi,Roberta_Mask,joy
babysit,0.2868894815444946,multi,Roberta_Mask,joy
flu,0.2858410701155662,multi,Roberta_Mask,joy
beauty,0.2857546384135882,multi,Roberta_Mask,joy
headache,0.2851418918371201,multi,Roberta_Mask,joy
starting,0.2848910899498524,multi,Roberta_Mask,joy
weeping,0.284454481942313,multi,Roberta_Mask,joy
classes,0.2824752533977682,multi,Roberta_Mask,joy
sports,0.2819446542046286,multi,Roberta_Mask,joy
piano,0.2784522883594036,multi,Roberta_Mask,joy
helped,0.2780543395451137,multi,Roberta_Mask,joy
therapy,0.2760703563690185,multi,Roberta_Mask,joy
swollen,0.2733762025833129,multi,Roberta_Mask,joy
wrapping,0.2728262481590112,multi,Roberta_Mask,joy
tooth,0.2720114104449749,multi,Roberta_Mask,joy
baking,0.2717587202787399,multi,Roberta_Mask,joy
sickness,0.2694622814655304,multi,Roberta_Mask,joy
court,0.2676574885845184,multi,Roberta_Mask,joy
whose,0.2667128699166434,multi,Roberta_Mask,joy
soccer,0.2658234250087004,multi,Roberta_Mask,joy
picking,0.2647054865956306,multi,Roberta_Mask,joy
mile,0.2641833797097206,multi,Roberta_Mask,joy
doc,0.2641309584890093,multi,Roberta_Mask,joy
teamjesus,0.2641293048858643,multi,Roberta_Mask,joy
counting,0.2633225880563259,multi,Roberta_Mask,joy
smile,0.2631650098223001,multi,Roberta_Mask,joy
sore,0.2601608335971832,multi,Roberta_Mask,joy
grateful,0.2589792819584117,multi,Roberta_Mask,joy
awhile,0.2578367250306265,multi,Roberta_Mask,joy
bound,0.256341552734375,multi,Roberta_Mask,joy
blessings,0.2559799022144741,multi,Roberta_Mask,joy
thisbringsmejoy,2.286669123452157,one,Roberta_Partition,joy
nap-__-,2.1967726573348045,one,Roberta_Partition,joy
smallpleasures,2.094740231521428,one,Roberta_Partition,joy
truejoy,2.0171489799395204,one,Roberta_Partition,joy
bejoyful,1.955231198342517,one,Roberta_Partition,joy
homework/,1.9317645383998752,one,Roberta_Partition,joy
allday,1.83568903291598,one,Roberta_Partition,joy
lovepeacejoy,1.8335395487883943,one,Roberta_Partition,joy
joyâ€,1.7998784162530983,one,Roberta_Partition,joy
ballet,1.6132737770676613,one,Roberta_Partition,joy
churchhhh,1.6062292829155922,one,Roberta_Partition,joy
purpose+authenticity+joy,1.5673604000909016,one,Roberta_Partition,joy
comeonchristmas,1.514256723970175,one,Roberta_Partition,joy
chocolate~,1.4720944091677666,one,Roberta_Partition,joy
joy.~mother,1.3988379577795669,one,Roberta_Partition,joy
liberated,1.398481963512798,one,Roberta_Partition,joy
todayyy,1.3919058814644814,one,Roberta_Partition,joy
~23hrs,1.3697881242260337,one,Roberta_Partition,joy
lovecheerleading,1.3535718196071689,one,Roberta_Partition,joy
6.30am,1.3467952092488606,one,Roberta_Partition,joy
yippe,1.3401956737507137,one,Roberta_Partition,joy
86:4-,1.3376741039101034,one,Roberta_Partition,joy
titty,1.2728953973079722,one,Roberta_Partition,joy
sighsofrelief,1.2628251716793917,one,Roberta_Partition,joy
laughhhh,1.256917141377926,one,Roberta_Partition,joy
otthappiness,1.2513981513446195,one,Roberta_Partition,joy
lovethisholiday,1.245147680863738,one,Roberta_Partition,joy
time!#freedom,1.244856216944754,one,Roberta_Partition,joy
jubilant,1.2435553308241651,one,Roberta_Partition,joy
so.sick,1.2306122660636902,one,Roberta_Partition,joy
grreat,1.2286771397702978,one,Roberta_Partition,joy
rejoiced,1.2113197533801818,one,Roberta_Partition,joy
11am,1.209145961581574,one,Roberta_Partition,joy
doublejoy,1.2079536464686194,one,Roberta_Partition,joy
nonstop,1.1913373582065103,one,Roberta_Partition,joy
3hr,1.188849491532892,one,Roberta_Partition,joy
alllnight,1.1875016763806343,one,Roberta_Partition,joy
2hr,1.1794443239923569,one,Roberta_Partition,joy
hymns,1.1770362061215565,one,Roberta_Partition,joy
6am-9pm,1.1743012567950832,one,Roberta_Partition,joy
"supported""#peace",1.1633816319517791,one,Roberta_Partition,joy
homeworkâ€,1.1475402351380104,one,Roberta_Partition,joy
btt,1.1377696223823086,one,Roberta_Partition,joy
bonding,1.1361509449779987,one,Roberta_Partition,joy
iamblessed,1.134986771363765,one,Roberta_Partition,joy
uneventful,1.1289795313496145,one,Roberta_Partition,joy
9:30,1.1200844490958843,one,Roberta_Partition,joy
gtg,1.106920023759206,one,Roberta_Partition,joy
5:40,1.1015399854630232,one,Roberta_Partition,joy
tme,1.0881765927188098,one,Roberta_Partition,joy
path;blameless,1.0839755394392545,one,Roberta_Partition,joy
busyafternoon,1.0831431752070786,one,Roberta_Partition,joy
civics,1.0800506543988984,one,Roberta_Partition,joy
panache,1.0702242099990449,one,Roberta_Partition,joy
break=,1.0648569903678435,one,Roberta_Partition,joy
sundayblessings,1.0624495890612404,one,Roberta_Partition,joy
fullest,1.0606260660570117,one,Roberta_Partition,joy
6:45a,1.0565275887130865,one,Roberta_Partition,joy
so.rawwwwwwwwwwwwwwr!driving&nosey,1.055846801803758,one,Roberta_Partition,joy
circumstances.~gandhi,1.054879651296263,one,Roberta_Partition,joy
5a.m,1.040116454164187,one,Roberta_Partition,joy
life:-p,1.0366086280306004,one,Roberta_Partition,joy
amped,1.0337878266970315,one,Roberta_Partition,joy
christmas<333,1.0299317566677928,one,Roberta_Partition,joy
laundrette,1.0238472539931536,one,Roberta_Partition,joy
allllll,1.0221928153187037,one,Roberta_Partition,joy
mmmmmm,1.0190042052417994,one,Roberta_Partition,joy
chirp,1.0177724861205206,one,Roberta_Partition,joy
godsgrace,1.0155611865920946,one,Roberta_Partition,joy
bubblebath,1.0142665793213783,one,Roberta_Partition,joy
counselor,1.0133412657305598,one,Roberta_Partition,joy
deaconess,1.0113466895100744,one,Roberta_Partition,joy
noodle,1.0086083188652992,one,Roberta_Partition,joy
recitation,1.0083730292196074,one,Roberta_Partition,joy
squashed,1.005302667617798,one,Roberta_Partition,joy
physiotherapy,1.00187483523041,one,Roberta_Partition,joy
breaths,0.9914265004508608,one,Roberta_Partition,joy
christmasshopping,0.9887785009341314,one,Roberta_Partition,joy
12hr,0.984642324190645,one,Roberta_Partition,joy
family1st,0.9833027673885226,one,Roberta_Partition,joy
kiddie,0.973607427686511,one,Roberta_Partition,joy
happyheartfeeling,0.9710446187189188,one,Roberta_Partition,joy
sunbeams,0.9640515209757724,one,Roberta_Partition,joy
9.05am,0.9639268675198158,one,Roberta_Partition,joy
week!â˜º,0.9593053394346498,one,Roberta_Partition,joy
happinessis,0.9550718958489596,one,Roberta_Partition,joy
potty,0.9545637355962148,one,Roberta_Partition,joy
piccadilly,0.9533809636098644,one,Roberta_Partition,joy
hallelujah,0.9499767377972604,one,Roberta_Partition,joy
cookery,0.9494383050838396,one,Roberta_Partition,joy
christmasmiracle,0.9427581187337636,one,Roberta_Partition,joy
halved,0.942012092215009,one,Roberta_Partition,joy
descends,0.9404613075866588,one,Roberta_Partition,joy
tonightttt,0.9313041812238224,one,Roberta_Partition,joy
equation,0.9305096215490872,one,Roberta_Partition,joy
chipmunks,0.9249427175049536,one,Roberta_Partition,joy
christmas:)house7heaven,0.923210699998197,one,Roberta_Partition,joy
lovemylife-___-,0.9179057539024924,one,Roberta_Partition,joy
joy-,0.9134513566736132,one,Roberta_Partition,joy
grahams,0.9114286322146654,one,Roberta_Partition,joy
babysitting,1.518282449895106,multi,Roberta_Partition,joy
joys,1.1310236353489864,multi,Roberta_Partition,joy
carols,0.8857066859929112,multi,Roberta_Partition,joy
bedtime,0.7913168069380425,multi,Roberta_Partition,joy
therapy,0.7867674625251903,multi,Roberta_Partition,joy
tommorow,0.779482111336509,multi,Roberta_Partition,joy
celebrate,0.7481540085354448,multi,Roberta_Partition,joy
coursework,0.7029311438525403,multi,Roberta_Partition,joy
sneezing,0.6556085789301009,multi,Roberta_Partition,joy
pleasure,0.6541699840991565,multi,Roberta_Partition,joy
happiness,0.633061283505441,multi,Roberta_Partition,joy
:-/,0.6128856182389427,multi,Roberta_Partition,joy
a.m.,0.5970506409590907,multi,Roberta_Partition,joy
joyous,0.5830091229872727,multi,Roberta_Partition,joy
joyful,0.5795261030907707,multi,Roberta_Partition,joy
6:30,0.5709046313663622,multi,Roberta_Partition,joy
welp,0.5706484501604453,multi,Roberta_Partition,joy
buddha,0.5681434662687156,multi,Roberta_Partition,joy
algebra,0.5618142403398328,multi,Roberta_Partition,joy
noon,0.5614511019455627,multi,Roberta_Partition,joy
o'clock,0.5581454787592346,multi,Roberta_Partition,joy
gravy,0.5563592683723996,multi,Roberta_Partition,joy
homework,0.5524409074934282,multi,Roberta_Partition,joy
enjoying,0.5383287806885622,multi,Roberta_Partition,joy
goodmorning,0.5355275167204026,multi,Roberta_Partition,joy
headache,0.5321517197921961,multi,Roberta_Partition,joy
gratitude,0.5305696066804154,multi,Roberta_Partition,joy
babysit,0.5045570935323717,multi,Roberta_Partition,joy
1/2,0.4983925869152117,multi,Roberta_Partition,joy
blessed,0.4957720253494928,multi,Roberta_Partition,joy
mrs.,0.4830880756780431,multi,Roberta_Partition,joy
wrapping,0.4805004858488277,multi,Roberta_Partition,joy
hour,0.4735672572751472,multi,Roberta_Partition,joy
cranky,0.4728113191702627,multi,Roberta_Partition,joy
joy,0.4658059819898412,multi,Roberta_Partition,joy
blessings,0.4520839862577324,multi,Roberta_Partition,joy
flower.~s.c.,0.4487509791635806,multi,Roberta_Partition,joy
swollen,0.4442885785651881,multi,Roberta_Partition,joy
rehearsal,0.4358869082638723,multi,Roberta_Partition,joy
sarcasm,0.4335556003081855,multi,Roberta_Partition,joy
faithfulness,0.4298973378140536,multi,Roberta_Partition,joy
.____.,0.4295591075339519,multi,Roberta_Partition,joy
choir,0.4284845645823985,multi,Roberta_Partition,joy
blessing,0.4279438611355832,multi,Roberta_Partition,joy
-__-,0.4237437237530337,multi,Roberta_Partition,joy
duty,0.415163173102925,multi,Roberta_Partition,joy
sewing,0.4129588695653042,multi,Roberta_Partition,joy
mrs,0.4126859273618565,multi,Roberta_Partition,joy
christmas,0.4114759032322633,multi,Roberta_Partition,joy
bless,0.4051282558219198,multi,Roberta_Partition,joy
carol,0.4029730982058651,multi,Roberta_Partition,joy
prayer,0.4007821425704172,multi,Roberta_Partition,joy
grocery,0.4000675785280695,multi,Roberta_Partition,joy
gospel,0.3987459557667728,multi,Roberta_Partition,joy
hours,0.3958397809244374,multi,Roberta_Partition,joy
practice,0.3941437745148767,multi,Roberta_Partition,joy
decorate,0.3937723294765269,multi,Roberta_Partition,joy
strictly,0.3863808830695537,multi,Roberta_Partition,joy
chemistry,0.384462792655914,multi,Roberta_Partition,joy
breathing,0.3816396625998317,multi,Roberta_Partition,joy
afternoon,0.3815326444112253,multi,Roberta_Partition,joy
laughter,0.3809840935923214,multi,Roberta_Partition,joy
-___-,0.3809499165228356,multi,Roberta_Partition,joy
community,0.377345623351735,multi,Roberta_Partition,joy
church,0.3761278940676016,multi,Roberta_Partition,joy
maths,0.3758797144482739,multi,Roberta_Partition,joy
listening,0.3740078656744108,multi,Roberta_Partition,joy
tis,0.3704870620115379,multi,Roberta_Partition,joy
decorating,0.370318768514808,multi,Roberta_Partition,joy
mince,0.3624040781675191,multi,Roberta_Partition,joy
greatness,0.3613427798170599,multi,Roberta_Partition,joy
sore,0.3607160631209143,multi,Roberta_Partition,joy
sickness,0.3597515521936405,multi,Roberta_Partition,joy
thankful,0.3595306676815075,multi,Roberta_Partition,joy
evening,0.3587245876457169,multi,Roberta_Partition,joy
rejoice,0.3564684139593775,multi,Roberta_Partition,joy
abundance,0.3545953252765808,multi,Roberta_Partition,joy
kindness,0.3533662387114335,multi,Roberta_Partition,joy
grateful,0.3487984706412391,multi,Roberta_Partition,joy
workshop,0.3487042751837042,multi,Roberta_Partition,joy
cleaning,0.3473316244778108,multi,Roberta_Partition,joy
shower,0.3442488825898185,multi,Roberta_Partition,joy
baking,0.3440213479860436,multi,Roberta_Partition,joy
highlight,0.3424947767012762,multi,Roberta_Partition,joy
running.~kara,0.3418057793302657,multi,Roberta_Partition,joy
highest,0.3404851546816766,multi,Roberta_Partition,joy
proverb,0.3376014484181578,multi,Roberta_Partition,joy
laundry,0.3340832285351125,multi,Roberta_Partition,joy
naturally,0.3335747334468563,multi,Roberta_Partition,joy
moments,0.3322200008308805,multi,Roberta_Partition,joy
cuique)cicero,0.3311148310346263,multi,Roberta_Partition,joy
shopping,0.3308273443824213,multi,Roberta_Partition,joy
meetings,0.329226853277974,multi,Roberta_Partition,joy
joy.â€,0.3286815642909392,multi,Roberta_Partition,joy
snoring,0.3263673226030324,multi,Roberta_Partition,joy
helping,0.3238481426592964,multi,Roberta_Partition,joy
banquet,0.3231504113312541,multi,Roberta_Partition,joy
consists,0.3226506278686947,multi,Roberta_Partition,joy
physics,0.3207775874678041,multi,Roberta_Partition,joy
calculus,0.320702110159481,multi,Roberta_Partition,joy
whycantwebefriends,2.459324151277542,one,DistilBERT_Mask,joy
galfriend,2.1272325217723846,one,DistilBERT_Mask,joy
musicallyfullfilled,1.9569585770368576,one,DistilBERT_Mask,joy
hallelujahamen,1.7446098029613497,one,DistilBERT_Mask,joy
fireworks,1.7387551069259644,one,DistilBERT_Mask,joy
echelon,1.5838452875614166,one,DistilBERT_Mask,joy
ilovemylivelyfamily,1.5318718403577805,one,DistilBERT_Mask,joy
gloriousthanksgivingvacation,1.5015702098608017,one,DistilBERT_Mask,joy
dissecting,1.468483567237854,one,DistilBERT_Mask,joy
homework!-_-,1.4070399403572085,one,DistilBERT_Mask,joy
bestfriend,1.3539458215236664,one,DistilBERT_Mask,joy
mymotherstartedjuicing,1.3491275906562803,one,DistilBERT_Mask,joy
ilovechocolate,1.3144994378089905,one,DistilBERT_Mask,joy
histology,1.2673833072185516,one,DistilBERT_Mask,joy
starry,1.2346543073654177,one,DistilBERT_Mask,joy
sharting,1.2217852473258972,one,DistilBERT_Mask,joy
yobs,1.2145207524299622,one,DistilBERT_Mask,joy
circumstances.~gandhi,1.181063860654831,one,DistilBERT_Mask,joy
recitation,1.1717160940170288,one,DistilBERT_Mask,joy
bestfriends,1.1680214926600456,one,DistilBERT_Mask,joy
thisisgoingtobealongnight,1.1521245539188385,one,DistilBERT_Mask,joy
pract,1.1224191188812256,one,DistilBERT_Mask,joy
loveschool,1.1207280158996582,one,DistilBERT_Mask,joy
insightfulness,1.094299018383026,one,DistilBERT_Mask,joy
perfecting,1.086273729801178,one,DistilBERT_Mask,joy
lessons.adventures.smallgroupbabes,1.0434346199035645,one,DistilBERT_Mask,joy
smokingtime,1.0354890823364258,one,DistilBERT_Mask,joy
joyness,1.0249428749084473,one,DistilBERT_Mask,joy
befortunate,1.0196662694215777,one,DistilBERT_Mask,joy
fontenelle,1.017166405916214,one,DistilBERT_Mask,joy
imbeingsarcastic,1.00895556807518,one,DistilBERT_Mask,joy
admirable,0.9970134496688844,one,DistilBERT_Mask,joy
it.~shug,0.9950969517230988,one,DistilBERT_Mask,joy
vespers,0.9946143329143524,one,DistilBERT_Mask,joy
priories,0.9726798236370088,one,DistilBERT_Mask,joy
-#joy,0.96853107213974,one,DistilBERT_Mask,joy
thegoodwife,0.9615577757358552,one,DistilBERT_Mask,joy
