word,NNprob,wordCount,NN_Rank
fucking,-2.7625136,715,235
mastering,-2.8028927,11,236
destroying,-2.844633,2,237
thread,-2.8699508,2,238
claims,-2.9662092,1,239
righteous,-2.988392,55,240
attitude,-3.0283809,60,241
os,-3.1137514,4,242
sport,-3.1187716,25,243
madness,-3.1495514,33,244
customer,-3.156532,44,245
misery,-3.263323,5,246
damned,-3.2799776,14,247
policies,-3.2987952,1,248
jon,-3.309092,3,249
attacking,-3.3880613,14,250
smash,-3.4227233,19,251
adverts,-3.4249144,1,252
behalf,-3.4510036,2,253
unacceptable,-3.4702337,14,254
spoken,-3.4801512,3,255
this!,-3.5055592,1,256
#smash,-3.57766,16,257
lvl,-3.6015835,1,258
grrr,-3.6048923,11,259
righteousness,-3.73028,9,260
boasting,-3.763746,1,261
obviously,-3.8330925,18,262
aware,-3.8399322,29,263
47,-3.8549833,1,264
replying,-3.883636,15,265
behaviour,-4.0503726,10,266
friggen,-4.057628,1,267
grammar,-4.1474323,25,268
advert,-4.150631,58,269
fathering,-4.225301,16,270
maintains,-4.321707,1,271
proper,-4.3225384,71,272
silencing,-4.3503575,1,273
towards,-4.43233,43,274
controlling,-4.456771,43,275
"""not",-4.4893255,1,276
vicinity,-4.5252542,1,277
comprehend,-4.541766,1,278
context,-4.5963116,8,279
66,-4.637376,2,280
evidently,-4.650441,1,281
aggravating,-4.695754,11,282
parental,-4.863517,1,283
biting,-5.008874,9,284
cope,-5.047305,2,285
thus,-5.1303043,1,286
vital,-5.1481295,1,287
burn,-5.199485,86,288
spare,-5.2055674,5,289
condemn,-5.2386904,2,290
sarcastic,-5.2484097,7,291
710,-5.256009,1,292
enemy,-5.2826166,27,293
handle,-5.324291,31,294
iranian,-5.3833494,1,295
yelling,-5.3918924,40,296
fck,-5.473955,14,297
efficiency,-5.538949,1,298
realise,-5.5857506,48,299
shud,-5.6078777,2,300
bosom,-5.613228,30,301
dose,-5.6134744,24,302
growl,-5.6782136,10,303
sufficient,-5.7167063,1,304
inconvenient,-5.725223,1,305
audacity,-5.7371035,1,306
bitch,-5.8686304,347,307
bratty,-6.0028167,1,308
twins,-6.004509,38,309
gripes,-6.1386967,1,310
(yelling,-6.1433864,1,311
enough,-6.325655,117,312
trafford,-6.3714504,17,313
tone,-6.3907323,10,314
features,-6.5502625,3,315
mugs,-6.565367,7,316
certain,-6.5912824,61,317
've,-6.5950937,556,318
active,-6.6680017,7,319
respond,-6.684037,18,320
37,-6.715112,4,321
destroy,-6.7350492,13,322
continually,-6.7514105,4,323
hurled,-6.8074784,1,324
need,-6.8342447,606,325
sumthing,-6.842436,1,326
save,-6.9347095,105,327
scream,-6.9528494,33,328
heartless,-6.9906406,8,329
sentence,-7.0195847,20,330
kick,-7.0343533,70,331
stole,-7.058779,36,332
apathy,-7.111554,15,333
stability,-7.205641,2,334
flippin,-7.3236175,1,335
darth,-7.334796,18,336
hardening,-7.3508453,3,337
iron,-7.352494,7,338
hell,-7.430409,310,339
kettle,-7.4350867,18,340
stupid,-7.5009127,261,341
irritated,-7.539198,5,342
theirselves,-7.5460587,1,343
larger,-7.598297,12,344
issues,-7.607363,176,345
41,-7.6169577,2,346
hurtful,-7.646269,14,347
themself,-7.720103,1,348
aggressive,-7.723915,4,349
pr,-7.7644205,2,350
shuld,-7.7877336,1,351
blackout,-7.8304996,1,352
tool,-7.833356,18,353
annoyances,-7.9503903,12,354
destroys,-8.024641,15,355
fukkin,-8.064553,1,356
76,-8.074593,2,357
irony,-8.095582,2,358
damn,-8.10012,344,359
re,-8.151501,121,360
nao,-8.210017,1,361
forgetting,-8.218581,23,362
mufc,-8.236974,16,363
aimed,-8.24142,1,364
forgive,-8.27294,35,365
ridiculous,-8.295073,44,366
whoever,-8.403708,16,367
calm,-8.492412,116,368
slag,-8.496311,4,369
however,-8.520516,15,370
maelstrom,-8.592233,1,371
survive,-8.5922785,12,372
shutting,-8.615188,20,373
stabbing,-8.656692,2,374
fight,-8.693795,148,375
deny,-8.710426,11,376
stupidness,-8.740255,1,377
yell,-8.818118,43,378
single,-8.847826,124,379
smashing,-8.881681,2,380
usless,-8.885863,1,381
dickhead,-8.886481,1,382
barbed,-8.892241,11,383
apologetic,-8.913873,1,384
dammit,-8.938283,24,385
somebody,-8.996435,48,386
ã„’êœâ„,-8.999829,1,387
caveman,-9.006701,2,388
argue,-9.064732,8,389
proverbs,-9.104335,4,390
balls,-9.105366,96,391
kate,-9.127074,5,392
rioting,-9.138836,1,393
westwood,-9.198186,1,394
fuckoff,-9.205043,13,395
stating,-9.326545,1,396
.,-9.375714,18751,397
this,-9.384703,2742,398
don't,-9.473464,4,399
virtues,-9.519803,17,400
fierce,-9.542394,3,401
rioters,-9.54712,1,402
assholes,-9.552968,40,403
sowing,-9.579665,9,404
depise,-9.611343,1,405
hated,-9.636145,7,406
alloy,-9.639023,1,407
fighting,-9.645614,32,408
'm,-9.657709,2043,409
pricks,-9.662992,1,410
106,-9.667403,1,411
putting,-9.716117,86,412
whys,-9.753392,1,413
cunt,-9.764462,73,414
loathe,-9.841081,2,415
utility,-9.844626,2,416
comments,-9.858808,15,417
kicking,-9.898673,40,418
stab,-9.972104,11,419
vent,-9.981958,3,420
situation,-10.047724,98,421
spokesperson,-10.063998,1,422
tounge,-10.092925,2,423
representatives,-10.100015,1,424
constantly,-10.142745,17,425
#fact,-10.181006,11,426
ae,-10.247838,1,427
specifically,-10.379665,1,428
want,-10.392573,907,429
stealing,-10.398441,15,430
ripped,-10.399037,25,431
kino,-10.432765,1,432
72,-10.46514,1,433
acceptable,-10.472236,15,434
omg,-10.483875,191,435
accused,-10.490352,1,436
shite,-10.497552,1,437
unhappiness,-10.558138,14,438
turmoil,-10.5746155,1,439
15minutes,-10.580656,11,440
their,-10.625966,637,441
computers,-10.661328,54,442
omfg,-10.725488,26,443
irritating,-10.773643,17,444
only,-10.792768,887,445
swear,-10.810748,125,446
harsher,-10.81334,8,447
#nonsense,-10.914241,19,448
already,-10.946669,257,449
hotter,-10.960706,2,450
obnoxious,-10.973411,3,451
bitchiest,-10.99596,13,452
wasting,-11.0489645,19,453
rival,-11.093607,2,454
all!!!,-11.1469345,1,455
instance,-11.173807,17,456
fuss,-11.193889,1,457
[,-11.260577,64,458
every1s,-11.270312,1,459
_/,-11.27677,1,460
insanity,-11.348933,1,461
remind,-11.36989,33,462
rip,-11.443674,73,463
],-11.478547,58,464
64,-11.5112095,1,465
remark,-11.542529,1,466
sarcasm,-11.568118,56,467
fend,-11.619058,6,468
gloss,-11.620563,1,469
moan,-11.701967,14,470
troll,-11.703697,2,471
apparantly,-11.711438,1,472
bloody,-11.764899,88,473
issue,-11.803444,7,474
argh,-11.812758,1,475
shitty,-11.827638,64,476
profile,-11.84749,57,477
......,-11.849109,121,478
apologize,-11.877767,2,479
abit,-11.893203,1,480
deadly,-11.929995,14,481
manufactured,-11.950677,16,482
degree,-12.010621,27,483
hve,-12.02668,1,484
#wanttoseemisamigos,-12.084222,1,485
#killmenow,-12.084222,1,486
#hurryup,-12.084222,1,487
#blameitontheblonde,-12.084222,1,488
#christmasproblems,-12.084222,1,489
#pleasedontleaveme,-12.084222,1,490
#imactuallyheartbroken,-12.084222,1,491
#screwfinals,-12.084222,1,492
#maybenexttime,-12.084222,1,493
priceless,-12.095028,6,494
p.s,-12.104463,2,495
espn,-12.13433,16,496
fucker,-12.147006,16,497
"""helps",-12.179392,7,498
annoyin,-12.208089,1,499
kjv,-12.237418,2,500
futility,-12.255383,7,501
management,-12.26742,278,502
sodding,-12.304783,12,503
ignorant,-12.312942,10,504
stil,-12.314123,1,505
liverpool,-12.321887,2,506
fuckin,-12.335291,97,507
sword,-12.338364,15,508
@fadzmad,-12.359163,1,509
@bowman_baker,-12.359163,1,510
@abbykincanon,-12.359163,1,511
@charlieskitchen,-12.359163,1,512
effortâ€,-12.359163,24,513
supaaaa,-12.359163,1,514
@maria_ma17ua,-12.359163,1,515
letsgrowup,-12.359163,1,516
@rileee,-12.359163,1,517
@thematthewhuff,-12.359163,1,518
@loserlouisawhoneedstwitter,-12.359163,1,519
@doodlesdaisy,-12.359163,1,520
fontenelle,-12.359163,1,521
@kevinjonas,-12.359163,1,522
revengewillbemine,-12.359163,9,523
ohmypotato,-12.359163,1,524
twinnys,-12.359163,1,525
mufu*king,-12.359163,1,526
@thomestifanos,-12.359163,1,527
a&m,-12.359163,1,528
:0,-12.359163,1,529
@fuckall0fyou,-12.359163,19,530
@nikkiwarnz,-12.359163,1,531
thankgsgiving,-12.359163,1,532
@spinmagazine,-12.359163,1,533
90yr,-12.359163,1,534
@paulyv12,-12.359163,1,535
@truckmona,-12.359163,1,536
@chalegal,-12.359163,1,537
@orangejbt,-12.359163,1,538
12â€¢12â€¢12,-12.359163,1,539
whydidentmypartnerdoanything,-12.359163,1,540
â€œ@theonly_bk,-12.359163,9,541
recklessestimations,-12.359163,1,542
thankfulfor,-12.359163,1,543
@stix1845,-12.359163,1,544
pastorrt,-12.359163,1,545
adub,-12.359163,1,546
bootexas,-12.359163,1,547
@twitter,-12.359163,3,548
@barbiekinzz,-12.359163,1,549
@campyspornshack,-12.359163,1,550
@itsbrittneyduh,-12.359163,1,551
@lcolell,-12.359163,1,552
8),-12.359163,1,553
~milla,-12.359163,1,554
afroman,-12.359163,1,555
-______-,-12.359163,3,556
@mackenziekeys,-12.359163,11,557
frwrd,-12.359163,1,558
shouldnthavesoldstufftogetitturnedbackon,-12.359163,1,559
dffrnt,-12.359163,1,560
@hcltech,-12.359163,1,561
@misswessels,-12.359163,1,562
aahaha,-12.359163,1,563
@kirkfranklin,-12.359163,1,564
@morpheusent,-12.359163,1,565
imgettingold,-12.359163,1,566
@vintagececilia,-12.359163,11,567
@xianlimm,-12.359163,1,568
@nhl_oilers,-12.359163,1,569
fooledyou,-12.359163,1,570
happinessis,-12.359163,2,571
@loubeatles,-12.359163,1,572
@di__la,-12.359163,1,573
@is_this_it,-12.359163,1,574
@opulence2011,-12.359163,1,575
/rt,-12.359163,1,576
2mw,-12.359163,1,577
@megjane25,-12.359163,1,578
@trishana28,-12.359163,1,579
@chops_magee7,-12.359163,1,580
@bobbystompy,-12.359163,1,581
7:30,-12.359163,5,582
@thomasguardado,-12.359163,1,583
@nathan_buchheits,-12.359163,1,584
@markwhufc,-12.359163,1,585
@scottymccreery,-12.359163,1,586
â€œjust,-12.359163,1,587
1y.o,-12.359163,1,588
trustedâ€,-12.359163,1,589
@iheart_kris81,-12.359163,1,590
@foxbrownfox,-12.359163,1,591
crazy!(:lmao,-12.359163,1,592
@hoiitschanel,-12.359163,1,593
giavauna,-12.359163,1,594
glolod,-12.359163,1,595
@rainbowlushh,-12.359163,1,596
@michaelmears,-12.359163,1,597
@jassmiinneee,-12.359163,10,598
illoveairports,-12.359163,1,599
@jason_wacker,-12.359163,1,600
@therealsnctyler,-12.359163,1,601
@buckhollywood,-12.359163,1,602
@professorgreen,-12.359163,1,603
@mellyanneflo,-12.359163,1,604
4368th,-12.359163,1,605
â€œ@slapahoe_texas,-12.359163,15,606
meâ€,-12.359163,1,607
@leeberube,-12.359163,1,608
dunkins,-12.359163,1,609
@omgfactssex,-12.359163,1,610
@mattbetzwiser,-12.359163,1,611
@pastorrobmayer,-12.359163,1,612
â€œ@iam_tpc,-12.359163,15,613
@decemberzown21,-12.359163,1,614
omgcmu,-12.359163,1,615
grambling,-12.359163,15,616
stankâ€â€,-12.359163,15,617
holidayinthepark,-12.359163,1,618
iworksohard,-12.359163,1,619
csmajorproblems,-12.359163,1,620
southmead,-12.359163,1,621
@djpaulyd,-12.359163,2,622
yeahhbuddy,-12.359163,1,623
@spennythajet,-12.359163,1,624
@marissamccorkel,-12.359163,1,625
@dope_ass_pepe,-12.359163,1,626
prehandcramppromises,-12.359163,1,627
@jayneflower,-12.359163,1,628
@fishyygee,-12.359163,1,629
3morepoints,-12.359163,1,630
nomistakestoday,-12.359163,1,631
@tomharris5,-12.359163,1,632
sarcastichashtag,-12.359163,2,633
needtostopusingtwittertorant,-12.359163,1,634
@proudbelieber16,-12.359163,1,635
@tha_abster,-12.359163,1,636
@mryu90,-12.359163,1,637
@ipithom,-12.359163,1,638
@juliagillard,-12.359163,1,639
@official_wem,-12.359163,1,640
@pauldoc90,-12.359163,2,641
rivercourt,-12.359163,1,642
@jjjasia,-12.359163,1,643
@sophiabush,-12.359163,1,644
home<3,-12.359163,1,645
@toulastake,-12.359163,1,646
hubsicle,-12.359163,1,647
@w4ffl35_fdc,-12.359163,1,648
guy<3,-12.359163,1,649
@codylaa,-12.359163,1,650
@_jnise,-12.359163,1,651
f*ck,-12.359163,20,652
f*cking,-12.359163,12,653
savecommunity,-12.359163,12,654
@fanfaronade,-12.359163,1,655
gonnabealongnight,-12.359163,1,656
heart.#wonderfulfeeling,-12.359163,1,657
78yo,-12.359163,1,658
@jiwan23,-12.359163,1,659
24fl,-12.359163,1,660
@tisfolly,-12.359163,1,661
@colbyhadley,-12.359163,1,662
fingeeerr,-12.359163,1,663
@shawnstockman,-12.359163,1,664
received.her,-12.359163,1,665
daaniya,-12.359163,1,666
@jeanniehor,-12.359163,1,667
@hanabananaz,-12.359163,2,668
@kaamelology,-12.359163,1,669
@aalliesun,-12.359163,1,670
brother&hisgf,-12.359163,1,671
tweoples,-12.359163,1,672
cocaphobia,-12.359163,1,673
chocolateygoodness,-12.359163,1,674
@kp89,-12.359163,1,675
~#swedish,-12.359163,1,676
vulnerable.-,-12.359163,14,677
jarreds,-12.359163,9,678
sef!!new,-12.359163,1,679
christmaseveduedate,-12.359163,1,680
@jesussister,-12.359163,1,681
@jessica_smelly,-12.359163,1,682
@ron_farley25,-12.359163,1,683
@colingimblet,-12.359163,1,684
@theweekndxo,-12.359163,1,685
youvstop,-12.359163,1,686
caffeinewithdrawl,-12.359163,6,687
shopn,-12.359163,1,688
justin<3,-12.359163,1,689
@dreadhead1384,-12.359163,1,690
-p.s,-12.359163,1,691
nofriends,-12.359163,1,692
baffin,-12.359163,1,693
endoftenancytweet,-12.359163,1,694
havingjoy,-12.359163,1,695
someoneentertainme,-12.359163,1,696
@stoverkelsey,-12.359163,1,697
chucksmic,-12.359163,15,698
fuckinggggggggg,-12.359163,15,699
noshame,-12.359163,1,700
î€£.,-12.359163,1,701
@dprincessmaja,-12.359163,1,702
@durrty_diana,-12.359163,1,703
fuckemall,-12.359163,1,704
@waddupcass,-12.359163,1,705
finallyy,-12.359163,1,706
@sophabulous07,-12.359163,1,707
4:50,-12.359163,1,708
@_pokiinsmot,-12.359163,1,709
@ms_mary_macc,-12.359163,1,710
@myakonstanti,-12.359163,1,711
@darlingtika,-12.359163,3,712
@jay_babebee,-12.359163,1,713
@babyheavy_101,-12.359163,1,714
@jessylikewhoa,-12.359163,1,715
@ireekexcellence,-12.359163,1,716
@itskevinellis,-12.359163,1,717
ughhghghghg,-12.359163,1,718
@madgeo8,-12.359163,1,719
â€œ@_ismellroses,-12.359163,1,720
@deb_doesitbetta,-12.359163,2,721
there?)â€,-12.359163,1,722
feeling???my,-12.359163,1,723
@johninvermont,-12.359163,1,724
@downwiththebull,-12.359163,1,725
@rachelbush12x,-12.359163,1,726
buiscuit,-12.359163,1,727
@megmurph14,-12.359163,1,728
one.he,-12.359163,1,729
heartyou,-12.359163,1,730
